distance_m,fspl_dB,umi_pathloss_dB,tx_height_m,f3_polygon_count,los_intersection_count,dist_to_first_intersection_m,dist_to_last_intersection_m,is_los,fresnel3_obstr_poly_area,los_obstr_poly_area,f1_polygon_count,fresnel1_obstr_poly_area,tx_sphere_poly_count,tx_sphere_obstr_poly_area,avg_tx_clutter_height,rx_sphere_poly_count,rx_sphere_obstr_poly_area,avg_rx_clutter_height,pointnet_prediction,measured_pathloss_dB
707.4514585,87.50573266,90.30542931,64.1,448,4,293.6764857,303.747031,0,8970.890077,963.6416138,82,666.0945939,176,18081.63474,43.5511367,277,17776.52774,20.26672238,120,124.7531281
703.9326003,87.46242131,90.25995239,64.1,348,6,293.178867,539.4046105,0,9268.652778,1047.719825,111,515.3670886,176,18081.63474,43.5511367,253,17918.33267,19.74279051,120,131.2030945
700.4317565,87.4191163,90.21448213,64.1,348,6,292.6854848,538.9523575,0,9110.977071,1028.958992,111,516.4492843,176,18081.63474,43.5511367,258,20234.55734,18.07227214,120,127.4098969
696.9491984,87.3758222,90.16902332,64.1,316,10,292.196495,558.3604602,0,9487.471772,1469.044379,129,791.4157068,176,18081.63474,43.5511367,299,25276.56119,18.85520528,120,124.0184174
693.4852016,87.3325437,90.1235809,64.1,327,10,291.7120573,557.9352412,0,9250.930762,1196.148963,131,1014.178047,176,18081.63474,43.5511367,331,30375.70065,20.02036254,120,122.5447693
690.0400456,87.28928564,90.07815994,64.1,394,10,291.2323355,557.5216323,0,9835.921663,1013.404183,117,1426.406998,176,18081.63474,43.5511367,354,34962.18498,21.52179805,120,122.8938904
686.614014,87.24605301,90.03276567,64.1,392,10,290.7574969,644.0913096,0,9719.287619,1070.341369,84,1249.291828,176,18081.63474,43.5511367,368,39271.46805,22.48427046,120,131.4599304
683.2073946,87.2028509,89.98740346,64.1,402,20,291.7006338,669.0254474,0,8792.276186,1643.07086,58,1034.65055,176,18081.63474,43.5511367,397,42607.87564,22.32193388,120,122.0429688
679.820479,87.1596846,89.94207885,64.1,372,6,296.9193219,606.203642,0,7824.185785,636.4761552,96,1118.692011,176,18081.63474,43.5511367,403,45006.9435,22.93443126,120,120.4296265
676.4535634,87.11655952,89.89679751,64.1,534,12,541.7310347,655.0679521,0,9816.952602,522.6542052,127,1161.390953,176,18081.63474,43.5511367,413,46248.96128,22.81550822,120,120.2418518
673.1069477,87.07348121,89.85156528,64.1,581,26,541.3647098,661.3096646,0,12506.16196,908.0838389,136,1121.456223,176,18081.63474,43.5511367,426,47832.61557,22.64357025,120,121.0995331
663.1919648,86.94458485,89.71622411,64.1,534,16,405.387809,659.1687069,0,13474.57968,1269.377923,184,3445.20927,176,18081.63474,43.5511367,421,50252.16686,23.07634806,120,116.6930847
653.4708879,86.81632463,89.58155087,64.1,436,16,199.7834537,482.0016587,0,15176.12253,1296.897398,271,4445.879034,176,18081.63474,43.5511367,405,48636.30321,23.62491458,120,101.7693329
650.2751272,86.77374259,89.53683974,64.1,421,14,199.9255213,395.4713769,0,14615.98583,1516.922573,264,4051.880729,176,18081.63474,43.5511367,408,45723.93569,23.23179505,120,86.96366119
647.1022181,86.73125751,89.4922304,64.1,412,12,200.0762628,396.1551346,0,13656.08379,1479.593926,203,3441.707086,176,18081.63474,43.5511367,411,43032.8164,22.71595505,120,122.9443512
643.9524986,86.68887639,89.44773022,64.1,370,12,200.2359314,398.4202176,0,9213.35379,1323.691546,194,3170.130978,176,18081.63474,43.5511367,403,39393.4955,21.72722967,120,87.06243896
640.8263104,86.64660643,89.40334676,64.1,307,12,200.4098433,403.4952101,0,8505.197059,1044.790786,177,2770.200054,176,18081.63474,43.5511367,378,35982.85236,21.5901316,120,124.1903992
637.7239997,86.60445497,89.35908773,64.1,272,4,200.6203828,407.7850451,0,7623.007867,603.0999857,146,2411.14339,176,18081.63474,43.5511367,364,33769.44974,20.47612623,120,124.4465637
602.4901462,86.11079871,88.84074865,64.1,185,0,-1,-1,1,5132.900045,0,58,859.6537721,176,18081.63474,43.5511367,166,29071.62351,20.3071257,120,128.8689728
599.7315365,86.07093747,88.79889436,64.1,197,6,568.3810395,581.0645104,0,6185.048654,106.4925257,100,1097.421548,176,18081.63474,43.5511367,308,30496.34181,17.98362561,120,127.6537476
597.0020566,86.03131628,88.75729211,64.1,244,0,-1,-1,1,6656.763879,0,119,1477.452495,176,18081.63474,43.5511367,388,29992.99818,22.34143431,120,122.5725555
594.3021078,85.99194515,88.71595242,64.1,234,4,215.5056974,216.8350908,0,7308.10783,190.4527382,142,2141.9331,176,18081.63474,43.5511367,368,28852.24636,27.15630519,120,124.149826
591.6320943,85.95283424,88.67488597,64.1,258,12,214.5374977,522.9741109,0,8621.065632,468.7377623,147,2771.77805,176,18081.63474,43.5511367,368,28290.25636,30.06565103,120,125.3852997
576.2636317,85.72422398,88.43484519,64.1,169,8,208.9645893,245.4830385,0,8307.169871,933.2926985,82,2623.045805,176,18081.63474,43.5511367,316,13681.12446,36.85664979,120,137.4163666
573.8147026,85.68723318,88.39600485,64.1,429,10,208.0765591,241.1516115,0,8159.256046,1274.587609,86,2638.01454,176,18081.63474,43.5511367,300,12835.51417,38.0956272,120,143.4977722
571.399031,85.65058973,88.35752923,64.1,559,8,207.2005888,235.8746458,0,7797.449517,1293.459964,92,2602.953509,176,18081.63474,43.5511367,320,11885.45735,34.83836856,120,124.069603
569.0170405,85.61430519,88.31943046,64.1,578,8,206.9708199,230.7953782,0,7784.86323,1282.969902,483,2304.656898,176,18081.63474,43.5511367,314,10529.50433,33.80142393,120,128.6342468
566.6691557,85.57839123,88.2817208,64.1,631,14,207.5511379,483.5220794,0,7909.537845,1353.636679,528,2587.420869,176,18081.63474,43.5511367,294,9212.423888,33.63271976,120,121.7382965
564.3558024,85.54285963,88.24441263,64.1,650,10,208.1523254,473.6456572,0,7933.413493,513.2106791,271,2018.543601,176,18081.63474,43.5511367,294,7967.464042,30.78185969,120,130.2350464
562.077407,85.50772232,88.20751845,64.1,558,8,208.7749826,474.239002,0,7498.847958,521.688486,154,1767.817244,176,18081.63474,43.5511367,290,6417.934237,27.10686699,120,118.6935883
559.8343962,85.4729913,88.17105088,64.1,265,12,209.419727,473.5938605,0,6762.552759,732.493142,122,1523.002731,176,18081.63474,43.5511367,270,5162.557663,22.52474925,120,118.8784943
557.627197,85.43867869,88.13502263,64.1,221,4,411.5395607,417.2996632,0,5918.508871,230.8406739,66,1299.996268,176,18081.63474,43.5511367,249,4537.985187,17.81350965,120,92.6053772
555.4562364,85.40479668,88.09944653,64.1,156,0,-1,-1,1,5189.803419,0,71,880.3859365,176,18081.63474,43.5511367,198,4076.753838,12.6455899,120,91.31768799
553.3219409,85.37135757,88.06433546,64.1,148,0,-1,-1,1,4423.222692,0,53,539.2091016,176,18081.63474,43.5511367,77,4017.996182,11.85428126,120,85.16033936
551.2247363,85.33837371,88.02970241,64.1,142,0,-1,-1,1,3532.221199,0,56,133.6109832,176,18081.63474,43.5511367,82,4767.742323,11.77455028,120,98.37371826
549.1650477,85.3058575,87.99556039,64.1,117,0,-1,-1,1,2514.926769,0,48,88.77054729,176,18081.63474,43.5511367,94,5707.344557,11.69999563,120,110.7876129
547.1432987,85.27382143,87.96192251,64.1,101,0,-1,-1,1,2187.075259,0,29,54.71104166,176,18081.63474,43.5511367,94,6426.223474,12.04062004,120,121.4270935
545.1599114,85.24227799,87.9288019,64.1,101,0,-1,-1,1,2057.263068,0,42,70.13146656,176,18081.63474,43.5511367,109,7140.547404,11.67746759,120,122.1225891
543.2153061,85.21123971,87.89621171,64.1,93,0,-1,-1,1,1970.428995,0,42,107.7393199,176,18081.63474,43.5511367,118,8992.444762,13.80332526,120,122.1819611
541.3099006,85.18071915,87.86416512,64.1,93,0,-1,-1,1,1888.513547,0,26,150.1300356,176,18081.63474,43.5511367,140,11095.22774,15.98273725,120,121.3917084
539.4441103,85.15072886,87.83267531,64.1,91,0,-1,-1,1,1762.028124,0,23,233.4534135,176,18081.63474,43.5511367,144,12692.73345,16.9942899,120,120.6104126
537.6183478,85.12128138,87.80175546,64.1,80,0,-1,-1,1,1629.533029,0,23,304.1739191,176,18081.63474,43.5511367,136,14041.36708,18.14276654,120,121.9680862
535.8330221,85.09238923,87.77141871,64.1,67,6,143.5940353,144.9866602,0,1589.221559,710.7685232,13,389.7272703,176,18081.63474,43.5511367,120,15187.69368,20.66522087,120,127.8805542
534.0885388,85.06406491,87.74167817,64.1,60,6,141.0694023,145.5584834,0,1879.332011,799.1320026,13,471.57266,176,18081.63474,43.5511367,112,15122.19449,21.66968517,120,122.6955414
532.3852993,85.03632084,87.71254689,64.1,59,8,139.4747345,505.3677776,0,1757.125781,725.5348888,13,542.2049316,176,18081.63474,43.5511367,136,17942.20594,21.06771659,120,131.1073608
530.7237009,85.00916939,87.68403787,64.1,76,6,139.0394275,507.2676666,0,1779.75483,718.6155871,13,590.6448507,176,18081.63474,43.5511367,158,19221.86974,21.84332052,120,146.5894928
529.1041356,84.98262286,87.65616402,64.1,63,4,138.6151325,147.3939926,0,1834.981557,703.4222431,19,643.1458004,176,18081.63474,43.5511367,196,20508.82856,22.29000619,120,149.031189
527.5269908,84.95669344,87.62893813,64.1,74,4,138.2019508,148.0476972,0,2135.283338,724.1343011,10,224.6492582,176,18081.63474,43.5511367,408,26343.61563,20.47465948,120,141.5443726
525.992648,84.93139322,87.60237289,64.1,72,8,137.7999825,521.4170271,0,2263.715474,751.9771523,10,314.6143761,176,18081.63474,43.5511367,523,30620.89667,23.67329515,120,139.8094788
512.0421882,84.69791464,87.35722038,64.1,139,13,487.331701,507.6698561,0,1947.348524,343.6414237,51,330.4837201,176,18081.63474,43.5511367,497,40131.56078,35.81599241,120,138.2157745
511.0486691,84.68104497,87.33950723,64.1,118,0,-1,-1,1,1743.113707,0,63,407.801798,176,18081.63474,43.5511367,477,37344.04285,35.13273254,120,124.7615738
510.1022269,84.66494413,87.32260135,64.1,129,4,280.3117587,282.2907986,0,2263.477813,205.1897352,81,520.1650973,176,18081.63474,43.5511367,441,33778.10771,34.15728205,120,121.5368195
509.2031241,84.64962093,87.30651199,64.1,150,4,279.8176831,284.2631923,0,2802.338412,220.2525672,94,643.1991635,176,18081.63474,43.5511367,389,30235.34197,34.51147187,120,125.3408966
508.3516119,84.63508384,87.29124804,64.1,167,4,279.3497594,286.2972707,0,3389.403791,260.9751879,110,717.4672497,176,18081.63474,43.5511367,360,26277.14624,33.13580698,120,119.4595032
