distance_m,fspl_dB,umi_pathloss_dB,tx_height_m,f3_polygon_count,los_intersection_count,dist_to_first_intersection_m,dist_to_last_intersection_m,is_los,fresnel3_obstr_poly_area,los_obstr_poly_area,f1_polygon_count,fresnel1_obstr_poly_area,tx_sphere_poly_count,tx_sphere_obstr_poly_area,avg_tx_clutter_height,rx_sphere_poly_count,rx_sphere_obstr_poly_area,avg_rx_clutter_height,pointnet_prediction,measured_pathloss_dB
707.4148575,106.3454443,109.1451185,70.3,59,10,168.3864055,555.2281939,0,603.5862892,280.0270047,17,42.51172053,87,19942.19324,51.0390814,614,36237.57342,27.50590321,140,181.3170013
703.9180139,106.3024024,109.0999245,70.3,90,8,168.1354444,561.7103281,0,897.2840643,78.82842921,26,23.78172809,87,19942.19324,51.0390814,574,35246.88575,27.56783914,140,178.8710938
700.439405,106.2593722,109.0547428,70.3,90,12,555.2703362,616.8655481,0,773.9675765,205.3976215,32,105.0347488,87,19942.19324,51.0390814,576,34645.27876,27.12264032,140,180.4428406
696.9793037,106.2163584,109.0095783,70.3,40,2,623.3931186,623.3931186,0,249.8426994,19.19398494,0,0,87,19942.19324,51.0390814,572,34531.23406,27.12382931,140,174.8272095
693.537987,106.1733659,108.9644361,70.3,38,4,553.6119139,553.6119139,0,241.1225528,40.65309933,17,53.61809155,87,19942.19324,51.0390814,547,34667.72699,27.48837155,140,178.8781891
690.1157361,106.1303994,108.9193213,70.3,30,4,612.0012074,612.0012074,0,138.2788125,31.42174761,10,2.145844177,87,19942.19324,51.0390814,501,34615.89648,28.79801502,140,166.4115601
686.7128358,106.0874641,108.8742393,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,546,35333.49344,26.90376186,140,183.4015045
683.3295754,106.0445652,108.8291954,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,517,36004.8661,25.95535483,140,181.2574463
679.9662479,106.0017079,108.7841953,70.3,11,0,-1,-1,1,4.608794429,0,0,0,87,19942.19324,51.0390814,546,35544.10389,24.39412321,140,179.8248901
676.6231506,105.9588979,108.7392447,70.3,11,0,-1,-1,1,54.32473919,0,0,0,87,19942.19324,51.0390814,589,35798.04303,22.6770202,140,177.3989716
673.3005849,105.9161406,108.6943496,70.3,11,0,-1,-1,1,135.3586589,0,11,11.490169,87,19942.19324,51.0390814,589,36166.96275,22.00295279,140,163.5630646
669.9988562,105.873442,108.6495161,70.3,25,0,-1,-1,1,256.8397309,0,11,48.72741261,87,19942.19324,51.0390814,565,36207.17385,22.82141028,140,181.8382111
666.7182741,105.830808,108.6047503,70.3,35,0,-1,-1,1,451.2734033,0,14,7.57103147,87,19942.19324,51.0390814,583,38468.10277,22.9769415,140,162.675766
663.4591523,105.7882446,108.5600588,70.3,41,0,-1,-1,1,795.4779024,0,24,97.08721271,87,19942.19324,51.0390814,649,41202.94516,22.22025614,140,161.1798248
660.2218085,105.7457581,108.515448,70.3,36,14,265.8160671,281.9837463,0,663.7010019,512.4366061,36,297.20538,87,19942.19324,51.0390814,697,44733.55314,22.16809612,140,150.7981567
657.0065648,105.703355,108.4709247,70.3,36,12,277.2935586,281.8831487,0,688.210029,260.827962,32,252.9448517,87,19942.19324,51.0390814,760,46794.29289,21.36911222,140,150.3753357
653.8137471,105.6610418,108.4264958,70.3,36,4,281.4924792,281.4924792,0,616.4719002,91.36301705,20,74.24858384,87,19942.19324,51.0390814,771,47041.73922,20.86554404,140,171.1871033
650.6436856,105.6188252,108.3821684,70.3,20,0,-1,-1,1,215.5450231,0,0,0,87,19942.19324,51.0390814,774,48058.96991,20.54128568,140,169.775528
635.1465611,105.4094398,108.1623138,70.3,13,2,170.4650446,170.4650446,0,181.614383,92.61888825,0,0,87,19942.19324,51.0390814,826,56641.88132,20.28192363,140,165.5883942
632.1201973,105.3679541,108.1187538,70.3,13,0,-1,-1,1,141.6323692,0,0,0,87,19942.19324,51.0390814,818,56750.38713,20.35817916,155,164.8084259
629.1190138,105.326617,108.0753498,70.3,13,0,-1,-1,1,81.09043692,0,0,0,87,19942.19324,51.0390814,820,56464.1645,20.48846092,155,164.7171783
626.1433727,105.2854366,108.0321104,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,809,55909.94742,20.69786004,155,164.099823
623.19364,105.244421,107.9890441,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,797,54855.53528,20.66840103,155,159.6945496
620.2701852,105.2035789,107.9461598,70.3,10,2,249.730892,249.730892,0,188.660367,67.91473615,0,0,87,19942.19324,51.0390814,765,52294.49813,20.53146728,155,151.2494965
608.8466649,105.0421194,107.7766274,70.3,19,6,269.9220707,276.616056,0,560.3585801,360.4656471,0,0,87,19942.19324,51.0390814,541,43644.96927,19.70224849,140,156.7154694
589.955752,104.7683496,107.489169,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,217,25514.75853,21.36697678,100,129.296936
587.3777141,104.7303101,107.4492276,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,228,26174.88744,23.23231088,100,100.6329269
584.83106,104.6925694,107.4095998,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,230,26571.42885,22.23394334,100,104.13591
582.3162014,104.6551383,107.3702971,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,281,27652.1633,21.32784433,100,104.0745621
579.8335521,104.6180276,107.331331,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,305,30151.49738,21.65542424,100,100.5657043
577.3835275,104.5812486,107.292713,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,310,32597.25101,21.68765118,100,101.3190918
574.9665447,104.5448123,107.2544549,70.3,0,0,-1,-1,1,0,0,0,0,87,19942.19324,51.0390814,334,34872.5509,21.52863156,100,104.0022736
572.5830221,104.5087301,107.2165686,70.3,50,0,-1,-1,1,132.2748321,0,0,0,87,19942.19324,51.0390814,371,36480.19586,20.61768161,100,103.9728546
